"Course ID","Course Name","Teacher ID","Teacher Name","Credit","Hour","Fail Threshold","Pass Threshold","Good Threshold","Excellent Threshold","Semester"
"101","Mathematics","1001","Dr. Smith","4.0","60.0","50.0","60.0","75.0","90.0","大一上"
"102","Physics","1002","Dr. Johnson","3.5","45.0","40.0","55.0","70.0","85.0","大一上"
"103","Chemistry","1003","Dr. Brown","3.0","50.0","35.0","50.0","65.0","80.0","大一上"
"104","Biology","1004","Dr. Taylor","3.0","40.0","30.0","50.0","70.0","85.0","大一下"
"105","Computer Science","1005","Dr. Wilson","4.5","70.0","50.0","65.0","80.0","95.0","大一下"
"106","History","1006","Dr. Moore","2.0","30.0","30.0","45.0","60.0","75.0","大一下"
"107","Economics","1007","Dr. White","3.5","55.0","40.0","55.0","70.0","85.0","大二上"
"108","Philosophy","1008","Dr. Harris","3.0","40.0","35.0","50.0","65.0","80.0","大二上"
"109","Art","1009","Dr. Clark","2.5","35.0","25.0","40.0","60.0","75.0","大二下"
"110","Statistics","1010","Dr. Lewis","4.0","60.0","50.0","65.0","75.0","90.0","大二下"
"111","Engineering","1011","Dr. Walker","4.5","80.0","55.0","70.0","85.0","95.0","大三上"
"112","Environmental Science","1012","Dr. Hall","3.0","50.0","35.0","50.0","70.0","85.0","大三上"
"113","Literature","1013","Dr. Allen","2.5","30.0","25.0","40.0","60.0","75.0","大三下"
"114","Psychology","1014","Dr. Young","3.5","45.0","40.0","55.0","70.0","85.0","大三下"
"115","Medicine","1015","Dr. King","5.0","100.0","60.0","75.0","85.0","95.0","大四上"
"116","Law","1016","Dr. Wright","4.0","60.0","50.0","65.0","75.0","90.0","大四上"
"117","Astronomy","1017","Dr. Scott","3.0","50.0","35.0","50.0","65.0","80.0","大四下"
"118","Geography","1018","Dr. Green","2.5","40.0","30.0","45.0","60.0","75.0","大四下"